latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,datetime
34.04018,-117.82352,301.39,0.41,0.37,2024-10-09,930,N,VIIRS,n,2.0NRT,288.31,0.36,N,2024-10-09 09:30:00
34.11366,-117.92341,302.99,0.41,0.37,2024-10-09,930,N,VIIRS,n,2.0NRT,289.72,0.31,N,2024-10-09 09:30:00
34.15413,-118.1926,315.07,0.42,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,289.02,1.19,N,2024-10-09 09:30:00
34.24437,-118.3808,298.83,0.43,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,287.52,0.29,N,2024-10-09 09:30:00
34.2922,-118.80138,312.62,0.44,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,286.67,1.14,N,2024-10-09 09:30:00
34.31928,-118.51341,308.16,0.43,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,288.23,0.62,N,2024-10-09 09:30:00
34.3345,-118.51994,319.22,0.43,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,289.62,1.61,N,2024-10-09 09:30:00
34.33458,-118.51788,315.14,0.43,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,289.37,1.36,N,2024-10-09 09:30:00
34.38819,-117.74582,295.49,0.41,0.37,2024-10-09,930,N,VIIRS,n,2.0NRT,285.3,0.54,N,2024-10-09 09:30:00
34.4304,-118.64554,315.35,0.44,0.38,2024-10-09,930,N,VIIRS,n,2.0NRT,288.16,1.73,N,2024-10-09 09:30:00
33.71446,-117.71144,297.68,0.41,0.37,2024-10-09,932,N,VIIRS,n,2.0NRT,287.06,0.41,N,2024-10-09 09:32:00
34.03389,-118.10387,306.36,0.42,0.37,2024-10-09,932,N,VIIRS,n,2.0NRT,287.73,0.54,N,2024-10-09 09:32:00
